instrument,register,n_samples,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
Violin_Ensemble+sordina,médium,12,-5.9041,33.1725,-25.9340,14.3560,-15.5403,0.7788,-5.5445,-6.7558,0.7139,-9.1029,0.6262,-6.6294,-0.8821
Violin_Ensemble,grave,21,-3.7609,38.9908,-26.0851,11.7064,-11.8087,1.0312,-4.9537,-5.0891,0.5487,-7.8067,2.2237,-5.1399,-0.5605
Violoncello,aigu,108,-17.2484,34.8030,-19.9254,11.4603,-10.4603,4.9221,-2.1209,-3.5461,1.8360,-5.9898,2.9534,-4.6753,-0.2423
Trombone+sordina_straight,aigu,6,-28.3375,34.1080,-20.5264,3.1817,-12.0332,0.3377,-4.5181,-6.3279,0.4748,-4.7922,1.0397,-3.6887,-0.2964
Viola,médium,90,-23.5777,34.4465,-20.1725,8.1563,-8.7734,2.8830,-3.7452,-4.2889,0.7821,-6.2456,1.2442,-4.3644,-0.1515
Contrabass,suraigu,42,-22.0693,33.1636,-18.1577,10.8266,-11.3251,4.2227,-1.8324,-2.1391,3.1710,-5.5293,2.3459,-4.5623,0.7657
Violoncello+sordina_piombo,aigu,26,-18.0806,30.0699,-19.2255,16.5273,-11.2241,4.9783,-2.2152,-3.2655,2.7865,-6.0153,3.1524,-5.5962,0.0593
Contrabass+sordina,suraigu,21,-25.8042,31.6280,-17.2666,11.3932,-10.1231,4.3907,-1.5591,-2.1063,2.7974,-5.5807,2.2186,-4.1938,0.5390
Trombone+sordina_wah,aigu,12,-41.5905,30.1258,-14.2317,2.7335,-12.8359,0.2966,-2.4684,-2.2813,1.3825,-5.0143,1.5139,-2.9042,0.6517
Trumpet_C+sordina_wah,grave,12,-45.6605,31.2097,-13.0516,3.8784,-7.4543,0.2092,-1.5164,-2.1910,0.0914,-2.8801,2.2092,-2.7410,-0.2491
Flute,médium,72,-28.9402,27.3242,-22.9793,3.9583,-15.4393,1.7509,-4.2293,-4.5388,1.9995,-4.1363,4.9139,-1.3911,3.4660
Violin,grave,18,-17.0989,33.8217,-22.6345,12.7026,-8.9314,0.8556,-4.0289,-3.7052,0.7799,-6.2923,3.2004,-3.4439,-0.1847
Violin+sordina,grave,15,-22.7164,31.7247,-20.2356,13.7528,-8.5348,0.5479,-3.5850,-3.3883,0.9086,-6.4969,2.6555,-2.7176,0.3019
Violin_Ensemble,médium,48,-4.3180,35.8385,-29.1447,10.2045,-13.4004,0.9833,-5.5730,-5.7868,0.4383,-8.4918,1.7843,-5.6371,-0.8980
