instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Trumpet_C+sordina_straight,grave,6,2625.6,1943.8,0.7395,0.2477,,30.61,-1.307,-1.403,0.000,-0.258,-0.990,0.990
Violin+sordina_piombo,médium,24,5322.3,4727.3,0.9129,0.3968,,23.44,-0.997,-0.944,0.000,-1.131,-1.024,1.024
Oboe,aigu,21,2152.4,2298.4,1.0730,0.3027,,23.30,-0.711,-1.234,0.000,-1.147,-1.031,1.031
Viola_Ensemble+sordina,suraigu,6,4590.1,3603.0,0.7875,0.3522,,25.80,-1.222,-1.082,0.000,-0.844,-1.049,1.049
Trumpet_C+sordina_straight,médium,8,2593.8,1942.6,0.7507,0.2062,,28.74,-1.287,-1.531,0.000,-0.485,-1.101,1.101
Piccolo,grave,20,2140.2,1991.1,0.9270,0.2776,,24.29,-0.972,-1.311,0.000,-1.027,-1.103,1.103
Trumpet_C,suraigu,40,2689.8,2459.1,0.9768,0.3589,,20.86,-0.883,-1.061,0.000,-1.444,-1.129,1.129
Trumpet_C+sordina_wah,suraigu,29,2934.2,2942.3,1.0793,0.3938,,18.39,-0.700,-0.954,0.000,-1.746,-1.133,1.133
Flute,aigu,72,3005.3,3730.7,1.2653,0.1556,,20.16,-0.368,-1.687,0.000,-1.529,-1.195,1.195
Viola,suraigu,72,3660.9,3602.1,0.9910,0.1585,,23.01,-0.858,-1.678,0.000,-1.183,-1.240,1.240
Harp,suraigu,57,2969.2,2840.5,0.9752,0.0440,,25.13,-0.886,-2.031,0.000,-0.925,-1.281,1.281
Trumpet_C+sordina_straight,aigu,5,2684.7,1989.6,0.7431,0.1807,,24.86,-1.301,-1.610,0.000,-0.958,-1.290,1.290
Trumpet_C+sordina_harmon,grave,6,5548.9,3900.9,0.7096,0.3578,,19.90,-1.361,-1.064,0.000,-1.562,-1.329,1.329
Trumpet_C+sordina_cup,grave,6,2634.3,2301.9,0.8727,0.0264,,25.07,-1.069,-2.085,0.000,-0.933,-1.362,1.362
Trumpet_C+sordina_harmon,médium,8,5274.8,3799.7,0.7465,0.2903,,18.56,-1.295,-1.272,0.000,-1.724,-1.430,1.430
Clarinet_Bb,suraigu,27,1967.9,1889.0,0.9460,0.0677,,19.60,-0.938,-1.958,0.000,-1.597,-1.498,1.498
Trumpet_C+sordina_cup,médium,8,2978.2,2504.0,0.8432,0.0091,,22.10,-1.122,-2.138,0.000,-1.294,-1.518,1.518
Viola+sordina_piombo,suraigu,28,6081.0,5061.9,0.8744,0.2160,,15.81,-1.066,-1.501,0.000,-2.059,-1.542,1.542
Violin,suraigu,74,5034.5,4232.3,0.8448,0.0040,,21.06,-1.119,-2.154,0.000,-1.421,-1.564,1.564
Violin_Ensemble,suraigu,49,4124.8,3184.5,0.7717,0.0013,,21.83,-1.250,-2.162,0.000,-1.327,-1.580,1.580
Piccolo,médium,23,2563.9,2260.7,0.8816,0.0001,,20.22,-1.053,-2.166,0.000,-1.522,-1.580,1.580
Violin_Ensemble+sordina,suraigu,12,5530.4,3809.7,0.6925,0.0074,,21.63,-1.391,-2.143,0.000,-1.350,-1.628,1.628
Flute,suraigu,22,5594.2,5249.3,0.9583,0.0000,,17.55,-0.916,-2.166,0.000,-1.848,-1.643,1.643
Oboe+sordina,suraigu,7,3090.8,2607.5,0.8538,0.0000,,18.76,-1.103,-2.166,0.000,-1.700,-1.656,1.656
Trumpet_C+sordina_straight,suraigu,15,3228.7,2383.8,0.7384,0.1356,,17.01,-1.309,-1.749,0.000,-1.913,-1.657,1.657
Violin+sordina,suraigu,39,5864.5,4433.6,0.7594,0.0084,,18.95,-1.272,-2.140,0.000,-1.677,-1.696,1.696
Clarinet_Eb,aigu,15,3034.8,2194.6,0.7500,0.0001,,19.09,-1.289,-2.166,0.000,-1.660,-1.705,1.705
Violin+sordina_piombo,aigu,23,7987.8,5337.6,0.6786,0.1238,,16.72,-1.416,-1.785,0.000,-1.948,-1.717,1.717
Oboe,suraigu,20,2938.7,2306.9,0.7996,0.0000,,17.64,-1.200,-2.166,0.000,-1.837,-1.734,1.734
Trumpet_C+sordina_cup,aigu,5,3463.8,2790.3,0.8060,0.0041,,16.20,-1.189,-2.154,0.000,-2.012,-1.785,1.785
Piccolo,aigu,41,4056.6,2828.1,0.7021,0.0001,,15.60,-1.374,-2.166,0.000,-2.084,-1.875,1.875
Trumpet_C+sordina_harmon,aigu,5,6024.5,3698.4,0.6148,0.0506,,13.47,-1.530,-2.010,0.000,-2.344,-1.962,1.962
Violin+sordina_piombo,suraigu,22,8712.0,5232.4,0.6046,0.0054,,13.44,-1.549,-2.149,0.000,-2.348,-2.015,2.015
Trumpet_C+sordina_cup,suraigu,15,4615.1,3353.3,0.7406,0.0012,,10.10,-1.306,-2.162,0.000,-2.754,-2.074,2.074
Trumpet_C+sordina_harmon,suraigu,15,6541.4,3895.8,0.5986,0.0120,,7.84,-1.559,-2.129,0.000,-3.029,-2.239,2.239
