instrument_A,register_A,instrument_B,register_B,F1_A_hz,F1_B_hz,delta_F1_hz,Fp_A_hz,Fp_B_hz,delta_Fp_hz,Homogeneity_H,fusion_score,category
Contrebasson,médium,Trombone,médium,226,602,376,1078,1008,70,0.873,0.682,SEMI-FONDU_H
Horn+sordina,médium,Trombone,médium,312,602,290,1161,1008,153,0.869,0.682,SEMI-FONDU_H
Bass_Trombone,médium,Violin_Ensemble+sordina,médium,872,344,528,1123,1140,17,0.979,0.682,FONDU_Fp
Bassoon+sordina,grave,Contrabass,médium,484,161,323,1047,1205,158,0.925,0.681,SEMI-FONDU_H
Oboe+sordina,médium,Trumpet_C+sordina_cup,médium,1324,1496,172,1364,1617,253,0.840,0.681,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Bass_Tuba+sordina,médium,183,473,290,1270,1077,193,0.927,0.681,SEMI-FONDU_H
Viola_Ensemble+sordina,médium,Violin+sordina_piombo,médium,290,75,215,1261,1376,115,0.697,0.681,HÉTÉROGÈNE
Guitar,médium,Viola,médium,215,322,107,1002,1315,313,0.827,0.679,SEMI-FONDU_H
Harp,médium,Viola_Ensemble,médium,193,312,119,1053,1339,286,0.803,0.678,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Viola+sordina_piombo,médium,473,290,183,1077,1247,170,0.721,0.677,HÉTÉROGÈNE
Trumpet_C+sordina_harmon,médium,Violoncello_Ensemble,médium,301,204,97,1353,1211,142,0.550,0.676,HÉTÉROGÈNE
Bass_Tuba+sordina,médium,Clarinet_Bb,chalumeau,473,215,258,1077,1315,238,0.934,0.676,SEMI-FONDU_H
Bass_Trombone,médium,Contrabass_Flute,médium,872,333,539,1123,1128,5,0.945,0.675,FONDU_Fp
Violin+sordina_piombo,médium,Violin_Ensemble,médium,75,344,269,1376,1225,151,0.818,0.675,SEMI-FONDU_H
Bass_Tuba,médium,Violin+sordina,médium,204,355,151,1001,1175,174,0.675,0.675,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Guitar,médium,75,215,140,1363,1002,361,0.938,0.675,SEMI-FONDU_H
English_Horn,médium,Violin+sordina,médium,1065,355,710,1186,1175,11,0.950,0.673,FONDU_Fp
Contrabass_Tuba,médium,Trombone,médium,215,602,387,964,1008,44,0.830,0.673,FONDU_Fp
Sax_Alto,médium,Trumpet_C,médium,613,1152,539,1331,1306,25,0.970,0.673,FONDU_Fp
Bass_Trombone,médium,Bass_Tuba+sordina,médium,872,473,399,1123,1077,46,0.849,0.673,FONDU_Fp
Harp,médium,Trombone+sordina_straight,médium,193,592,399,1053,979,74,0.891,0.672,SEMI-FONDU_H
Harp,médium,Viola,médium,193,322,129,1053,1315,262,0.767,0.672,HÉTÉROGÈNE
Contrabass+sordina,médium,Violin+sordina_piombo,médium,161,75,86,1205,1376,171,0.565,0.672,HÉTÉROGÈNE
Trombone,médium,Violin_Ensemble,médium,602,344,258,1008,1225,217,0.892,0.672,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violoncello,médium,301,193,108,1353,1202,151,0.566,0.671,HÉTÉROGÈNE
Trumpet_C+sordina_harmon,médium,Vibraphone,grave,301,312,11,1353,1130,223,0.528,0.671,CONVERGENT
Trombone+sordina_wah,médium,Violoncello_Ensemble+sordina,médium,592,204,388,1082,1180,98,0.904,0.670,SEMI-FONDU_H
Sax_Alto,médium,Trumpet_C+sordina_wah,médium,613,312,301,1331,1139,192,0.914,0.670,SEMI-FONDU_H
Trombone+sordina_straight,médium,Trumpet_C+sordina_wah,médium,592,312,280,979,1139,160,0.833,0.669,SEMI-FONDU_H
Bassoon+sordina,grave,Viola,médium,484,322,162,1047,1315,268,0.818,0.669,SEMI-FONDU_H
Bass_Trombone,médium,Viola+sordina,médium,872,322,550,1123,1151,28,0.964,0.669,FONDU_Fp
Bass_Trombone,médium,Trumpet_C,médium,872,1152,280,1123,1306,183,0.867,0.669,SEMI-FONDU_H
Sax_Alto,médium,Viola_Ensemble+sordina,médium,613,290,323,1331,1261,70,0.760,0.668,HÉTÉROGÈNE
Bass_Flute,médium,Bass_Trombone,médium,312,872,560,1132,1123,9,0.933,0.668,FONDU_Fp
Trumpet_C+sordina_harmon,médium,Violoncello+sordina,médium,301,193,108,1353,1226,127,0.521,0.667,HÉTÉROGÈNE
Harp,médium,Trombone,médium,193,602,409,1053,1008,45,0.847,0.666,FONDU_Fp
Contrabass,médium,Violin+sordina_piombo,médium,161,75,86,1205,1376,171,0.550,0.666,HÉTÉROGÈNE
Trombone+sordina_straight,médium,Violin+sordina,médium,592,355,237,979,1175,196,0.813,0.666,SEMI-FONDU_H
Contrabass_Tuba,médium,Violin+sordina,médium,215,355,140,964,1175,211,0.688,0.665,HÉTÉROGÈNE
Trombone+sordina_wah,médium,Violoncello,médium,592,193,399,1082,1202,120,0.940,0.665,SEMI-FONDU_H
Trombone,médium,Violoncello+sordina_piombo,médium,602,161,441,1008,1087,79,0.941,0.664,SEMI-FONDU_H
Sax_Alto,médium,Violin_Ensemble+sordina,médium,613,344,269,1331,1140,191,0.849,0.663,SEMI-FONDU_H
Bassoon+sordina,grave,Viola_Ensemble,médium,484,312,172,1047,1339,292,0.854,0.663,SEMI-FONDU_H
Oboe+sordina,médium,Violin+sordina_piombo,médium,1324,75,1249,1364,1376,12,0.925,0.663,FONDU_Fp
Violin+sordina_piombo,médium,Violoncello_Ensemble+sordina,médium,75,204,129,1376,1180,196,0.643,0.662,HÉTÉROGÈNE
Oboe+sordina,médium,Sax_Alto,médium,1324,613,711,1364,1331,33,0.953,0.661,FONDU_Fp
Sax_Alto,médium,Trombone+sordina_straight,médium,613,592,21,1331,979,352,0.712,0.661,SEMI-FONDU
Trombone+sordina_straight,médium,Violoncello+sordina_piombo,médium,592,161,431,979,1087,108,0.959,0.660,SEMI-FONDU_H
Bass_Trombone,médium,Bassoon+sordina,grave,872,484,388,1123,1047,76,0.843,0.659,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Violin_Ensemble+sordina,médium,75,344,269,1363,1140,223,0.883,0.658,SEMI-FONDU_H
Trombone+sordina_wah,médium,Viola,médium,592,322,270,1082,1315,233,0.899,0.658,SEMI-FONDU_H
Bass_Trombone,médium,Trumpet_C+sordina_wah,médium,872,312,560,1123,1139,16,0.918,0.657,FONDU_Fp
Trombone+sordina_wah,médium,Violoncello_Ensemble,médium,592,204,388,1082,1211,129,0.919,0.657,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violoncello_Ensemble+sordina,médium,301,204,97,1353,1180,173,0.548,0.657,HÉTÉROGÈNE
English_Horn,médium,Trumpet_C+sordina_wah,médium,1065,312,753,1186,1139,47,0.963,0.657,FONDU_Fp
Bass_Trombone,médium,Sax_Alto,médium,872,613,259,1123,1331,208,0.842,0.657,SEMI-FONDU_H
Trumpet_C+sordina_straight,médium,Violin+sordina_piombo,médium,1442,75,1367,1428,1376,52,0.970,0.657,SEMI-FONDU_H
Bass_Tuba,médium,Trombone+sordina_wah,médium,204,592,388,1001,1082,81,0.845,0.657,SEMI-FONDU_H
Bass_Trombone,médium,Violin,médium,872,366,506,1123,1111,12,0.909,0.656,FONDU_Fp
Contrabass_Clarinet_Bb,médium,Violin+sordina,médium,75,355,280,1363,1175,188,0.840,0.655,SEMI-FONDU_H
English_Horn,médium,Violin_Ensemble,médium,1065,344,721,1186,1225,39,0.945,0.655,FONDU_Fp
Bassoon+sordina,grave,Trombone+sordina_cup,médium,484,915,431,1047,992,55,0.863,0.654,SEMI-FONDU_H
Bass_Tuba,médium,Viola+sordina_piombo,médium,204,290,86,1001,1247,246,0.631,0.653,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Bassoon+sordina,grave,183,484,301,1270,1047,223,0.918,0.653,SEMI-FONDU_H
Trumpet_C,médium,Viola+sordina_piombo,médium,1152,290,862,1306,1247,59,0.971,0.653,SEMI-FONDU_H
Trombone+sordina_wah,médium,Viola_Ensemble,médium,592,312,280,1082,1339,257,0.936,0.652,SEMI-FONDU_H
Horn,médium,Trombone+sordina_cup,médium,322,915,593,1006,992,14,0.901,0.652,FONDU_Fp
Clarinet_Bb,chalumeau,Sax_Alto,médium,215,613,398,1315,1331,16,0.751,0.652,HÉTÉROGÈNE
English_Horn,médium,Viola+sordina_piombo,médium,1065,290,775,1186,1247,61,0.971,0.652,SEMI-FONDU_H
Bass_Tuba,médium,Violin_Ensemble,médium,204,344,140,1001,1225,224,0.672,0.650,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Trumpet_C+sordina_wah,médium,75,312,237,1363,1139,224,0.816,0.650,SEMI-FONDU_H
Trumpet_C,médium,Viola,médium,1152,322,830,1306,1315,9,0.888,0.650,FONDU_Fp
Bass_Tuba,médium,Contrabass_Clarinet_Bb,médium,204,75,129,1001,1363,362,0.860,0.649,SEMI-FONDU_H
Bassoon+sordina,grave,Viola+sordina_piombo,médium,484,290,194,1047,1247,200,0.714,0.649,HÉTÉROGÈNE
Marimba,médium,Trombone+sordina_cup,médium,322,915,593,1025,992,33,0.921,0.649,FONDU_Fp
Bassoon+sordina,grave,Clarinet_Bb,chalumeau,484,215,269,1047,1315,268,0.927,0.648,SEMI-FONDU_H
Horn+sordina,médium,Trumpet_C+sordina_harmon,médium,312,301,11,1161,1353,192,0.421,0.647,CONVERGENT
Violin+sordina,médium,Violin+sordina_piombo,médium,355,75,280,1175,1376,201,0.836,0.646,SEMI-FONDU_H
Violin+sordina_piombo,médium,Violoncello+sordina_piombo,médium,75,161,86,1376,1087,289,0.677,0.646,HÉTÉROGÈNE
Trumpet_C+sordina_wah,médium,Violin+sordina_piombo,médium,312,75,237,1139,1376,237,0.824,0.645,SEMI-FONDU_H
Trombone,médium,Viola_Ensemble+sordina,médium,602,290,312,1008,1261,253,0.960,0.645,SEMI-FONDU_H
English_Horn,médium,Violin,médium,1065,366,699,1186,1111,75,0.975,0.645,SEMI-FONDU_H
Oboe,médium,Violin+sordina_piombo,médium,1399,75,1324,1434,1376,58,0.945,0.643,SEMI-FONDU_H
Contrabass_Tuba,médium,Viola+sordina_piombo,médium,215,290,75,964,1247,283,0.645,0.643,HÉTÉROGÈNE
Bass_Tuba,médium,Viola_Ensemble,médium,204,312,108,1001,1339,338,0.773,0.642,HÉTÉROGÈNE
Contrabass_Tuba,médium,Trombone+sordina_wah,médium,215,592,377,964,1082,118,0.846,0.642,SEMI-FONDU_H
Contrabass_Tuba,médium,Violin_Ensemble,médium,215,344,129,964,1225,261,0.688,0.641,HÉTÉROGÈNE
Bass_Trombone,médium,Trombone+sordina_harmon,médium,872,183,689,1123,1075,48,0.924,0.641,FONDU_Fp
Bass_Trombone,médium,Violoncello+sordina_piombo,médium,872,161,711,1123,1087,36,0.904,0.640,FONDU_Fp
Bass_Trombone,médium,Vibraphone,grave,872,312,560,1123,1130,7,0.859,0.639,FONDU_Fp
Bass_Trombone,médium,Violin+sordina,médium,872,355,517,1123,1175,52,0.926,0.639,SEMI-FONDU_H
Trombone+sordina_wah,médium,Viola+sordina_piombo,médium,592,290,302,1082,1247,165,0.792,0.637,HÉTÉROGÈNE
Contrabass_Ensemble,médium,Violin+sordina_piombo,médium,172,75,97,1170,1376,206,0.545,0.636,HÉTÉROGÈNE
Bass_Tuba,médium,Viola,médium,204,322,118,1001,1315,314,0.737,0.636,HÉTÉROGÈNE
Trombone+sordina_straight,médium,Violin_Ensemble,médium,592,344,248,979,1225,246,0.830,0.636,SEMI-FONDU_H
Contrabass_Ensemble,médium,Trombone+sordina_wah,médium,172,592,420,1170,1082,88,0.850,0.635,SEMI-FONDU_H
Trombone+sordina_straight,médium,Viola_Ensemble+sordina,médium,592,290,302,979,1261,282,0.964,0.635,SEMI-FONDU_H
Sax_Alto,médium,Viola+sordina,médium,613,322,291,1331,1151,180,0.794,0.635,HÉTÉROGÈNE
English_Horn,médium,Violin_Ensemble+sordina,médium,1065,344,721,1186,1140,46,0.900,0.632,FONDU_Fp
Guitar,médium,Trombone+sordina_cup,médium,215,915,700,1002,992,10,0.846,0.632,FONDU_Fp
Contrabass_Tuba,médium,Viola_Ensemble,médium,215,312,97,964,1339,375,0.785,0.631,HÉTÉROGÈNE
Trombone+sordina_wah,médium,Violoncello+sordina,médium,592,193,399,1082,1226,144,0.888,0.629,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Trombone+sordina_cup,médium,473,915,442,1077,992,85,0.863,0.629,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Marimba,médium,75,322,247,1363,1025,338,0.949,0.629,SEMI-FONDU_H
Sax_Alto,médium,Violin+sordina_piombo,médium,613,75,538,1331,1376,45,0.886,0.627,FONDU_Fp
Contrabass_Clarinet_Bb,médium,Horn,médium,75,322,247,1363,1006,357,0.974,0.627,SEMI-FONDU_H
Clarinet_Eb,médium,Sax_Alto,médium,1496,613,883,1417,1331,86,0.946,0.627,SEMI-FONDU_H
Flute,médium,Viola,médium,1496,322,1174,1412,1315,97,0.958,0.625,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Violin+sordina_piombo,médium,183,75,108,1075,1376,301,0.676,0.625,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Trombone+sordina_wah,médium,183,592,409,1270,1082,188,0.958,0.625,SEMI-FONDU_H
Flute,médium,Viola_Ensemble,médium,1496,312,1184,1412,1339,73,0.922,0.625,SEMI-FONDU_H
Contrabass_Tuba,médium,Viola,médium,215,322,107,964,1315,351,0.749,0.625,HÉTÉROGÈNE
Bassoon,grave,Trombone+sordina_cup,médium,506,915,409,1127,992,135,0.877,0.624,SEMI-FONDU_H
Bass_Tuba+sordina,médium,Sax_Alto,médium,473,613,140,1077,1331,254,0.651,0.624,HÉTÉROGÈNE
English_Horn,médium,Sax_Alto,médium,1065,613,452,1186,1331,145,0.954,0.623,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Contrabass_Tuba,médium,75,215,140,1363,964,399,0.867,0.623,SEMI-FONDU_H
Trombone,médium,Violoncello_Ensemble+sordina,médium,602,204,398,1008,1180,172,0.913,0.623,SEMI-FONDU_H
Contrabass_Flute,médium,Sax_Alto,médium,333,613,280,1128,1331,203,0.781,0.623,HÉTÉROGÈNE
Oboe+sordina,médium,Trumpet_C+sordina_harmon,médium,1324,301,1023,1364,1353,11,0.823,0.623,FONDU_Fp
Trumpet_C,médium,Viola_Ensemble,médium,1152,312,840,1306,1339,33,0.851,0.621,FONDU_Fp
Trombone,médium,Viola,médium,602,322,280,1008,1315,307,0.931,0.620,SEMI-FONDU_H
Trombone+sordina_straight,médium,Violoncello_Ensemble+sordina,médium,592,204,388,979,1180,201,0.934,0.620,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Trumpet_C+sordina_straight,médium,301,1442,1141,1353,1428,75,0.912,0.620,SEMI-FONDU_H
Trumpet_C,médium,Violin_Ensemble,médium,1152,344,808,1306,1225,81,0.920,0.619,SEMI-FONDU_H
Marimba,médium,Trumpet_C+sordina_harmon,médium,322,301,21,1025,1353,328,0.572,0.619,CONVERGENT
Clarinet_Bb,chalumeau,Trombone+sordina_wah,médium,215,592,377,1315,1082,233,0.962,0.619,SEMI-FONDU_H
Trombone+sordina_cup,médium,Trombone+sordina_harmon,médium,915,183,732,992,1075,83,0.918,0.617,SEMI-FONDU_H
English_Horn,médium,Viola+sordina,médium,1065,322,743,1186,1151,35,0.846,0.617,FONDU_Fp
Trombone,médium,Violoncello,médium,602,193,409,1008,1202,194,0.946,0.617,SEMI-FONDU_H
Bass_Trombone,médium,Violin_Ensemble,médium,872,344,528,1123,1225,102,0.944,0.616,SEMI-FONDU_H
Bass_Trombone,médium,Violoncello_Ensemble+sordina,médium,872,204,668,1123,1180,57,0.876,0.616,SEMI-FONDU_H
Bass_Trombone,médium,Violoncello,médium,872,193,679,1123,1202,79,0.908,0.616,SEMI-FONDU_H
Trombone,médium,Viola_Ensemble,médium,602,312,290,1008,1339,331,0.969,0.615,SEMI-FONDU_H
Trombone+sordina_straight,médium,Violoncello,médium,592,193,399,979,1202,223,0.971,0.615,SEMI-FONDU_H
Flute,médium,Sax_Alto,médium,1496,613,883,1412,1331,81,0.908,0.614,SEMI-FONDU_H
Trumpet_C,médium,Violin+sordina_piombo,médium,1152,75,1077,1306,1376,70,0.890,0.614,SEMI-FONDU_H
Piccolo,médium,Trumpet_C,médium,1431,1152,279,1508,1306,202,0.753,0.613,HÉTÉROGÈNE
English_Horn,médium,Oboe,médium,1065,1399,334,1186,1434,248,0.902,0.612,SEMI-FONDU_H
Contrabass+sordina,médium,Trumpet_C+sordina_harmon,médium,161,301,140,1205,1353,148,0.461,0.612,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Sax_Alto,médium,183,613,430,1270,1331,61,0.765,0.612,HÉTÉROGÈNE
Clarinet_Eb,médium,Violin+sordina_piombo,médium,1496,75,1421,1417,1376,41,0.840,0.611,FONDU_Fp
Oboe,médium,Sax_Alto,médium,1399,613,786,1434,1331,103,0.932,0.611,SEMI-FONDU_H
Bass_Trombone,médium,Marimba,médium,872,322,550,1123,1025,98,0.922,0.610,SEMI-FONDU_H
Trombone,médium,Violoncello_Ensemble,médium,602,204,398,1008,1211,203,0.926,0.610,SEMI-FONDU_H
Violin,médium,Violin+sordina_piombo,médium,366,75,291,1111,1376,265,0.857,0.609,SEMI-FONDU_H
Violin+sordina_piombo,médium,Violin_Ensemble+sordina,médium,75,344,269,1376,1140,236,0.780,0.609,HÉTÉROGÈNE
Bass_Flute,médium,Sax_Alto,médium,312,613,301,1132,1331,199,0.772,0.609,HÉTÉROGÈNE
Bassoon+sordina,grave,Sax_Alto,médium,484,613,129,1047,1331,284,0.641,0.609,HÉTÉROGÈNE
Trombone+sordina_straight,médium,Violoncello_Ensemble,médium,592,204,388,979,1211,232,0.949,0.608,SEMI-FONDU_H
Bass_Tuba,médium,Trombone+sordina_cup,médium,204,915,711,1001,992,9,0.783,0.608,HÉTÉROGÈNE
Viola+sordina,médium,Violin+sordina_piombo,médium,322,75,247,1151,1376,225,0.725,0.607,HÉTÉROGÈNE
Clarinet_Bb,chalumeau,Trumpet_C,médium,215,1152,937,1315,1306,9,0.779,0.606,HÉTÉROGÈNE
Contrabass+sordina,médium,Trombone+sordina_wah,médium,161,592,431,1205,1082,123,0.844,0.605,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Flute,médium,75,1496,1421,1363,1412,49,0.836,0.605,FONDU_Fp
Contrabass,médium,Trumpet_C+sordina_harmon,médium,161,301,140,1205,1353,148,0.444,0.605,HÉTÉROGÈNE
Clarinet_Eb,médium,Viola,médium,1496,322,1174,1417,1315,102,0.915,0.605,SEMI-FONDU_H
Clarinet_Eb,médium,Viola_Ensemble,médium,1496,312,1184,1417,1339,78,0.878,0.604,SEMI-FONDU_H
Oboe+sordina,médium,Viola,médium,1324,322,1002,1364,1315,49,0.834,0.604,FONDU_Fp
Oboe+sordina,médium,Viola_Ensemble,médium,1324,312,1012,1364,1339,25,0.797,0.604,HÉTÉROGÈNE
Bass_Trombone,médium,Contrebasson,médium,872,226,646,1123,1078,45,0.826,0.603,FONDU_Fp
Trombone,médium,Viola+sordina_piombo,médium,602,290,312,1008,1247,239,0.835,0.603,SEMI-FONDU_H
Bass_Trombone,médium,Violoncello_Ensemble,médium,872,204,668,1123,1211,88,0.888,0.602,SEMI-FONDU_H
Trombone+sordina_cup,médium,Trumpet_C,médium,915,1152,237,992,1306,314,0.832,0.602,SEMI-FONDU_H
Contrabass,médium,Trombone+sordina_wah,médium,161,592,431,1205,1082,123,0.836,0.602,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Violin,médium,75,366,291,1363,1111,252,0.819,0.602,SEMI-FONDU_H
Flute,médium,Violin+sordina_piombo,médium,1496,75,1421,1412,1376,36,0.807,0.601,FONDU_Fp
Bass_Trombone,médium,Horn+sordina,médium,872,312,560,1123,1161,38,0.807,0.600,FONDU_Fp
Contrabass_Tuba,médium,Trombone+sordina_cup,médium,215,915,700,964,992,28,0.790,0.599,HÉTÉROGÈNE
English_Horn,médium,Violoncello,médium,1065,193,872,1186,1202,16,0.772,0.599,HÉTÉROGÈNE
Trombone+sordina_cup,médium,Violoncello+sordina_piombo,médium,915,161,754,992,1087,95,0.885,0.597,SEMI-FONDU_H
Oboe+sordina,médium,Viola+sordina_piombo,médium,1324,290,1034,1364,1247,117,0.917,0.597,SEMI-FONDU_H
Bass_Flute,médium,Violin+sordina_piombo,médium,312,75,237,1132,1376,244,0.711,0.596,HÉTÉROGÈNE
Contrabass_Flute,médium,English_Horn,médium,333,1065,732,1128,1186,58,0.827,0.596,SEMI-FONDU_H
Bass_Flute,médium,English_Horn,médium,312,1065,753,1132,1186,54,0.816,0.594,SEMI-FONDU_H
Trombone+sordina_harmon,médium,Trumpet_C+sordina_harmon,médium,183,301,118,1075,1353,278,0.577,0.593,HÉTÉROGÈNE
Horn,médium,Trumpet_C+sordina_harmon,médium,322,301,21,1006,1353,347,0.533,0.592,CONVERGENT
Sax_Alto,médium,Trumpet_C+sordina_straight,médium,613,1442,829,1331,1428,97,0.876,0.592,SEMI-FONDU_H
English_Horn,médium,Violoncello_Ensemble+sordina,médium,1065,204,861,1186,1180,6,0.739,0.592,HÉTÉROGÈNE
Trumpet_C,médium,Violin+sordina,médium,1152,355,797,1306,1175,131,0.925,0.592,SEMI-FONDU_H
Trumpet_C,médium,Trumpet_C+sordina_harmon,médium,1152,301,851,1306,1353,47,0.798,0.591,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,Trumpet_C,médium,183,1152,969,1270,1306,36,0.781,0.591,HÉTÉROGÈNE
Clarinet_Eb,médium,Contrabass_Clarinet_Bb,médium,1496,75,1421,1417,1363,54,0.808,0.591,SEMI-FONDU_H
Bass_Trombone,médium,Contrabass_Ensemble,médium,872,172,700,1123,1170,47,0.795,0.590,HÉTÉROGÈNE
Oboe,médium,Trumpet_C+sordina_harmon,médium,1399,301,1098,1434,1353,81,0.846,0.590,SEMI-FONDU_H
Trumpet_C,médium,Viola_Ensemble+sordina,médium,1152,290,862,1306,1261,45,0.790,0.589,HÉTÉROGÈNE
Trombone+sordina_straight,médium,Viola,médium,592,322,270,979,1315,336,0.881,0.589,SEMI-FONDU_H
Trumpet_C+sordina_harmon,médium,Violoncello+sordina_piombo,médium,301,161,140,1353,1087,266,0.580,0.588,HÉTÉROGÈNE
Bass_Trombone,médium,Horn,médium,872,322,550,1123,1006,117,0.896,0.588,SEMI-FONDU_H
Bass_Trombone,médium,Viola_Ensemble+sordina,médium,872,290,582,1123,1261,138,0.927,0.588,SEMI-FONDU_H
Contrabass_Flute,médium,Trombone+sordina_cup,médium,333,915,582,1128,992,136,0.923,0.587,SEMI-FONDU_H
Harp,médium,Trombone+sordina_cup,médium,193,915,722,1053,992,61,0.809,0.587,SEMI-FONDU_H
Contrabass_Ensemble,médium,Trumpet_C+sordina_harmon,médium,172,301,129,1170,1353,183,0.435,0.587,HÉTÉROGÈNE
English_Horn,médium,Violoncello_Ensemble,médium,1065,204,861,1186,1211,25,0.753,0.586,HÉTÉROGÈNE
Contrabass_Clarinet_Bb,médium,Oboe+sordina,médium,75,1324,1249,1363,1364,1,0.716,0.586,HÉTÉROGÈNE
Contrabass_Flute,médium,Violin+sordina_piombo,médium,333,75,258,1128,1376,248,0.722,0.585,HÉTÉROGÈNE
English_Horn,médium,Viola,médium,1065,322,743,1186,1315,129,0.906,0.585,SEMI-FONDU_H
Trombone+sordina_cup,médium,Violin_Ensemble+sordina,médium,915,344,571,992,1140,148,0.934,0.585,SEMI-FONDU_H
Contrabass_Ensemble,médium,Trombone+sordina_straight,médium,172,592,420,1170,979,191,0.876,0.584,SEMI-FONDU_H
Clarinet_Eb,médium,English_Horn,médium,1496,1065,431,1417,1186,231,0.952,0.584,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Bass_Trombone,médium,183,872,689,1270,1123,147,0.929,0.583,SEMI-FONDU_H
Trombone+sordina_straight,médium,Viola_Ensemble,médium,592,312,280,979,1339,360,0.917,0.583,SEMI-FONDU_H
Clarinet_Bb,chalumeau,Flute,médium,215,1496,1281,1315,1412,97,0.851,0.582,SEMI-FONDU_H
Trombone+sordina_cup,médium,Viola+sordina,médium,915,322,593,992,1151,159,0.944,0.582,SEMI-FONDU_H
Contrabass_Ensemble,médium,Trombone,médium,172,602,430,1170,1008,162,0.842,0.582,SEMI-FONDU_H
Trombone,médium,Violoncello+sordina,médium,602,193,409,1008,1226,218,0.894,0.581,SEMI-FONDU_H
English_Horn,médium,Flute,médium,1065,1496,431,1186,1412,226,0.938,0.581,SEMI-FONDU_H
Piccolo,médium,Trumpet_C+sordina_harmon,médium,1431,301,1130,1508,1353,155,0.934,0.581,SEMI-FONDU_H
Bass_Trombone,médium,Violoncello+sordina,médium,872,193,679,1123,1226,103,0.854,0.580,SEMI-FONDU_H
Bassoon,grave,Contrabass_Clarinet_Bb,médium,506,75,431,1127,1363,236,0.949,0.580,SEMI-FONDU_H
Flute,médium,Violin_Ensemble,médium,1496,344,1152,1412,1225,187,0.979,0.579,SEMI-FONDU_H
Trombone+sordina_straight,médium,Violoncello+sordina,médium,592,193,399,979,1226,247,0.917,0.579,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Sax_Alto,médium,75,613,538,1363,1331,32,0.746,0.579,HÉTÉROGÈNE
Contrebasson,médium,Trumpet_C+sordina_harmon,médium,226,301,75,1078,1353,275,0.472,0.579,HÉTÉROGÈNE
Contrebasson,médium,Trombone+sordina_cup,médium,226,915,689,1078,992,86,0.826,0.579,SEMI-FONDU_H
Bass_Flute,médium,Trombone+sordina_cup,médium,312,915,603,1132,992,140,0.907,0.579,SEMI-FONDU_H
English_Horn,médium,Viola_Ensemble+sordina,médium,1065,290,775,1186,1261,75,0.808,0.578,SEMI-FONDU_H
Bass_Trombone,médium,Viola+sordina_piombo,médium,872,290,582,1123,1247,124,0.881,0.578,SEMI-FONDU_H
Bass_Clarinet_Bb,médium,Trombone,médium,183,602,419,1270,1008,262,0.964,0.577,SEMI-FONDU_H
Trumpet_C,médium,Trumpet_C+sordina_wah,médium,1152,312,840,1306,1139,167,0.943,0.577,SEMI-FONDU_H
Bass_Trombone,médium,Viola,médium,872,322,550,1123,1315,192,0.975,0.575,SEMI-FONDU_H
Bass_Trombone,médium,Harp,médium,872,193,679,1123,1053,70,0.790,0.574,HÉTÉROGÈNE
Trombone+sordina_cup,médium,Trumpet_C+sordina_wah,médium,915,312,603,992,1139,147,0.904,0.573,SEMI-FONDU_H
Trombone+sordina_cup,médium,Violin,médium,915,366,549,992,1111,119,0.862,0.573,SEMI-FONDU_H
English_Horn,médium,Trumpet_C+sordina_straight,médium,1065,1442,377,1186,1428,242,0.861,0.573,SEMI-FONDU_H
Clarinet_Eb,médium,Viola+sordina_piombo,médium,1496,290,1206,1417,1247,170,0.935,0.572,SEMI-FONDU_H
Bass_Trombone,médium,Contrabass+sordina,médium,872,161,711,1123,1205,82,0.802,0.572,SEMI-FONDU_H
Contrabass_Clarinet_Bb,médium,Trumpet_C,médium,75,1152,1077,1363,1306,57,0.761,0.570,HÉTÉROGÈNE
Clarinet_Bb,chalumeau,Trombone,médium,215,602,387,1315,1008,307,0.966,0.570,SEMI-FONDU_H
Sax_Alto,médium,Violoncello_Ensemble,médium,613,204,409,1331,1211,120,0.717,0.569,HÉTÉROGÈNE
Bass_Clarinet_Bb,médium,English_Horn,médium,183,1065,882,1270,1186,84,0.799,0.569,HÉTÉROGÈNE
English_Horn,médium,Trombone+sordina_wah,médium,1065,592,473,1186,1082,104,0.787,0.569,HÉTÉROGÈNE
Piccolo,médium,Violin+sordina_piombo,médium,1431,75,1356,1508,1376,132,0.869,0.568,SEMI-FONDU_H
